country,sampling_id,lon,lat,air_pollutant,iso_code
France,SPO-FR29424_6001,4.39542,45.42009,PM2.5,FR
France,SPO-FR29426_5,4.51500,45.47533,PM10,FR
France,SPO-FR29426_5,4.51500,45.47533,PM10,FR
France,SPO-FR29426_5,4.51500,45.47533,PM10,FR
France,SPO-FR29426_5,4.51500,45.47533,PM10,FR
France,SPO-FR29426_6001,4.51500,45.47533,PM2.5,FR
France,SPO-FR29426_6001,4.51500,45.47533,PM2.5,FR
France,SPO-FR29426_6001,4.51500,45.47533,PM2.5,FR
France,SPO-FR29426_6001,4.51500,45.47533,PM2.5,FR
France,SPO-FR29428_5,4.41283,45.42208,PM10,FR
France,SPO-FR29428_5,4.41283,45.42208,PM10,FR
France,SPO-FR29428_6001,4.41283,45.42208,PM2.5,FR
France,SPO-FR29428_6001,4.41283,45.42208,PM2.5,FR
